epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.13273,3.3371,4.88929,1.42463,0.32274,0.34286,0.22805,0.05062,2.7027,2.2138,1.11827,0.00065,0.00065,0.00065
2,15.1988,2.61961,1.75592,1.15822,0.04517,0.37619,0.02528,0.00636,nan,nan,nan,0.00130363,0.00130363,0.00130363
3,21.518,2.59993,1.39119,1.14987,0.63901,0.02857,0.03331,0.00966,4.59445,6.03188,4.71783,0.00194406,0.00194406,0.00194406
4,28.1149,2.52237,1.37057,1.10648,0.68932,0.82381,0.74907,0.22023,2.38052,2.36309,1.06228,0.0019406,0.0019406,0.0019406
5,34.9101,2.39317,1.12196,1.07545,0.16467,0.85714,0.1528,0.04647,2.3478,14.203,1.06599,0.0019208,0.0019208,0.0019208
6,41.7467,2.25976,1.04319,1.03029,0.00034,0.0381,0.00017,6e-05,nan,nan,nan,0.001901,0.001901,0.001901
7,48.5665,2.29197,1.02382,1.05193,0.69901,0.78095,0.73166,0.22954,2.39461,1.19072,1.02908,0.0018812,0.0018812,0.0018812
8,55.546,2.28825,1.03544,1.0196,0.82137,0.81905,0.79816,0.27609,2.18885,1.00791,0.99262,0.0018614,0.0018614,0.0018614
9,62.4297,2.19763,1.03485,1.02276,0.93181,0.94286,0.95127,0.3657,2.10884,1.0723,0.97756,0.0018416,0.0018416,0.0018416
10,69.0703,2.23851,0.96927,1.02467,0.93614,0.94286,0.92327,0.33867,2.07806,1.10433,0.97774,0.0018218,0.0018218,0.0018218
11,75.8312,2.21148,0.98084,1.025,0.93864,0.94692,0.92939,0.36011,2.06795,1.06791,0.97322,0.001802,0.001802,0.001802
12,82.5332,2.15411,0.96455,1.02659,0.96656,0.97143,0.95978,0.36101,2.02055,1.01879,0.96818,0.0017822,0.0017822,0.0017822
13,89.097,2.11825,0.92029,1.00481,0.94978,0.95238,0.93649,0.37328,2.05013,0.8747,0.97296,0.0017624,0.0017624,0.0017624
14,96.046,2.12041,0.91137,1.00313,0.92562,0.92857,0.92406,0.34319,2.08643,0.90624,0.97559,0.0017426,0.0017426,0.0017426
15,102.608,2.19936,0.93368,1.00958,0.96039,0.9619,0.94137,0.3461,2.06441,0.91324,0.97931,0.0017228,0.0017228,0.0017228
16,109.376,2.20777,0.97163,1.01397,0.93793,0.95238,0.93812,0.36165,2.05012,0.93892,0.96834,0.001703,0.001703,0.001703
17,115.942,2.15675,0.97445,1.0015,0.95933,0.9619,0.95343,0.36152,2.0672,1.05491,0.97656,0.0016832,0.0016832,0.0016832
18,122.598,2.11872,0.92843,1.01225,0.92328,0.92381,0.91702,0.32746,2.07624,1.012,0.97267,0.0016634,0.0016634,0.0016634
